Name,Price,Image URL,Product URL
"Samsung Tab A7 Lite, 8.7 TFT Screen, 3GB/32GB Memory, 8MP Single Camera, 5100 mAh Battery, Android 11 - Grey","₦ 96,331",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/7666011/1.jpg?7130,http://jumia.com.ng//samsung-tab-a7-lite-8.7-tft-screen-3gb32gb-memory-8mp-single-camera-5100-mah-battery-android-11-grey-110666787.html
"Samsung Galaxy A13, 4GB/128GB Memory - Blue","₦ 108,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/8727521/1.jpg?4268,http://jumia.com.ng//samsung-galaxy-a13-4gb128gb-memory-blue-125727805.html
Haier Thermocool 8KG TLSA08AD Semi Automatic Top Loader Washing Machine - White,"₦ 112,801",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/1332231/1.jpg?2225,http://jumia.com.ng//haier-thermocool-8kg-tlsa08ad-semi-automatic-top-loader-washing-machine-white-132233164.html
Scanfrost SFL250 ECO - Chest Freezer,"₦ 171,180",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/3832121/1.jpg?1439,http://jumia.com.ng//scanfrost-sfl250-eco-chest-freezer-121238339.html
2022 Womens Air Cushion Shoes Running Sneakers - Purple,"₦ 3,900",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/790729/1.jpg?7698,http://jumia.com.ng//fashion-2022-womens-air-cushion-shoes-running-sneakers-purple-92709793.html
Volcano Sharkbottom Sneakers - Black,"₦ 7,890",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/681177/1.jpg?3281,http://jumia.com.ng//fashion-volcano-sharkbottom-sneakers-black-77118693.html
Recht Becker Walkabout Classic Sneakers - Grey.,"₦ 4,600",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/374344/1.jpg?0456,http://jumia.com.ng//recht-becker-walkabout-classic-sneakers-grey.-44347307.html
Leoson Walkabout White Sole Jeans Sneaker - Deep Blue,"₦ 3,390 - ₦ 3,990",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/286062/1.jpg?6588,http://jumia.com.ng//leoson-walkabout-white-sole-jeans-sneaker-deep-blue-26068246.html
Men's Smart Fit Canvas Sneakers,"₦ 5,500 - ₦ 6,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/1960401/1.jpg?1681,http://jumia.com.ng//fashion-mens-smart-fit-canvas-sneakers-104069178.html
Smart Fashion Breathable Unisex Sneakers -white,"₦ 4,200",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/158366/1.jpg?4920,http://jumia.com.ng//fashion-smart-fashion-breathable-unisex-sneakers-white-66385169.html
SHK Men Casual  Sneakers/canvas Shoes-Blue,"₦ 6,500",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/8180001/1.jpg?3863,http://jumia.com.ng//fashion-shk-men-casual-sneakerscanvas-shoes-blue-100081888.html
BroadStreet Hybrid Sneakers - Grey,"₦ 7,500",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/4432701/1.jpg?2210,http://jumia.com.ng//fashion-broadstreet-hybrid-sneakers-grey-107234429.html
New Female Fashionable Sneakers - White,"₦ 6,500",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/150117/1.jpg?8475,http://jumia.com.ng//fashion-new-female-fashionable-sneakers-white-71105199.html
Adidas CORE SNEAKERS ADVANTAGE BASE,"₦ 21,900",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/885248/1.jpg?4377,http://jumia.com.ng//adidas-core-sneakers-advantage-base-84258896.html
ENS Smart Unisex Classic White Sneakers,"₦ 14,900",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/990758/1.jpg?6073,http://jumia.com.ng//fashion-ens-smart-unisex-classic-white-sneakers-85709959.html
Trendy Women Fashion Sneakers. Multi,"₦ 5,950",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/589308/1.jpg?4352,http://jumia.com.ng//fashion-trendy-women-fashion-sneakers.-multi-80398569.html
2021 Mens Casual Retro Shoes Running Sneakers - Khaki,"₦ 4,499",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/778366/1.jpg?7988,http://jumia.com.ng//fashion-2021-mens-casual-retro-shoes-running-sneakers-khaki-66387782.html
2022 Women's Casual Socks Running Sneakers - Black,"₦ 4,900 - ₦ 5,499",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/629476/1.jpg?5803,http://jumia.com.ng//fashion-2022-womens-casual-socks-running-sneakers-black-67492646.html
Nike Revolution 5 Running Men's,"₦ 45,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/223659/1.jpg?1986,http://jumia.com.ng//nike-revolution-5-running-mens-95632205.html
Trendyol Collection T-Shirt - White - Oversize,"₦ 3,300",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/7402721/1.jpg?4801,http://jumia.com.ng//trendyol-collection-t-shirt-white-oversize-127204722.html
Trendyolmilla Pants - Navy blue - Wide Leg,"₦ 4,832",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/0202721/1.jpg?4312,http://jumia.com.ng//trendyolmilla-pants-navy-blue-wide-leg-127202071.html
Trendyolmilla T-Shirt - Multi-colored - Boyfriend,"₦ 2,342",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/0002721/1.jpg?4310,http://jumia.com.ng//trendyolmilla-t-shirt-multi-colored-boyfriend-127200099.html
Trendyol Collection T-Shirt - Purple - Oversize,"₦ 4,246",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/1502721/1.jpg?4906,http://jumia.com.ng//trendyol-collection-t-shirt-purple-oversize-127205152.html
Trendyolmilla Dress - Black - Midi,"₦ 7,907",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/6991721/1.jpg?4315,http://jumia.com.ng//trendyolmilla-dress-black-midi-127199605.html
Trendyol Collection Shirt - Black - Regular,"₦ 7,761",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/3702721/1.jpg?4907,http://jumia.com.ng//trendyol-collection-shirt-black-regular-127207377.html
Trendyol Collection T-Shirt - Beige - Regular,"₦ 2,620 - ₦ 10,075",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/5802721/1.jpg?4182,http://jumia.com.ng//trendyol-collection-t-shirt-beige-regular-127208540.html
Trendyol Collection Shorts & Bermudas - Blue - Pocket,"₦ 4,685",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/6502721/1.jpg?4916,http://jumia.com.ng//trendyol-collection-shorts-bermudas-blue-pocket-127205650.html
Trendyol Collection T-Shirt - Black - Slim Fit,"₦ 3,220",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/2702721/1.jpg?4061,http://jumia.com.ng//trendyol-collection-t-shirt-black-slim-fit-127207281.html
Trendyol Collection T-Shirt - Navy blue - Relaxed,"₦ 3,660",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/4502721/1.jpg?4909,http://jumia.com.ng//trendyol-collection-t-shirt-navy-blue-relaxed-127205479.html
Trendyol Collection T-Shirt - Navy blue - Oversize,"₦ 4,246",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/1202721/1.jpg?4314,http://jumia.com.ng//trendyol-collection-t-shirt-navy-blue-oversize-127202111.html
Trendyolmilla Dress - Yellow - Mini,"₦ 6,589",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/9502721/1.jpg?4906,http://jumia.com.ng//trendyolmilla-dress-yellow-mini-127205915.html
Trendyol Collection T-Shirt - White - Oversize,"₦ 3,806",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/5102721/1.jpg?4314,http://jumia.com.ng//trendyol-collection-t-shirt-white-oversize-127201544.html
Trendyol Collection T-Shirt - Black - Oversize,"₦ 3,300",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/8802721/1.jpg?4965,http://jumia.com.ng//trendyol-collection-t-shirt-black-oversize-127208848.html
Trendyolmilla White Knitted Body,"₦ 4,978",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/8991721/1.jpg?4316,http://jumia.com.ng//trendyolmilla-white-knitted-body-127199808.html
Adidas SPORTS PERFORMANCE  RUNFALCON,"₦ 21,170",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/149869/1.jpg?7157,http://jumia.com.ng//adidas-sports-performance-runfalcon-96894128.html
Adidas SPORTS PERFORMANCE  ADILETTE SHOWER,"₦ 9,160",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/149869/1.jpg?7158,http://jumia.com.ng//adidas-sports-performance-adilette-shower-96894135.html
Adidas SPORTS PERFORMANCE T-SHIRT E LIN TEE,"₦ 8,149",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/149869/1.jpg?7156,http://jumia.com.ng//adidas-sports-performance-t-shirt-e-lin-tee-96894146.html
Adidas SPORTS PERFORMANCE SLIDES ADILETTE SANDAL K,"₦ 10,125",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/009869/1.jpg?8759,http://jumia.com.ng//adidas-sports-performance-slides-adilette-sandal-k-96890056.html
Adidas Core Sneakers Grand Court Base,"₦ 19,545",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/985248/1.jpg?0003,http://jumia.com.ng//adidas-core-sneakers-grand-court-base-84258901.html
Adidas CORE SLIDES ADILETTE SHOWER,"₦ 9,340",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/478768/1.jpg?5322,http://jumia.com.ng//adidas-core-slides-adilette-shower-86787462.html
Adidas Core Sneakers Grand Court Base,"₦ 23,774",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/985248/1.jpg?2811,http://jumia.com.ng//adidas-core-sneakers-grand-court-base-84258900.html
Adidas SPORTS PERFORMANCE  ADILETTE SHOWER,"₦ 9,160",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/149869/1.jpg?7158,http://jumia.com.ng//adidas-sports-performance-adilette-shower-96894132.html
Adidas SPORTS PERFORMANCE BALL UNIFO FIN MINI,"₦ 5,405",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/698869/1.jpg?6412,http://jumia.com.ng//adidas-sports-performance-ball-unifo-fin-mini-96889649.html
Adidas CORE SNEAKERS KIDS GRAND COURT K,"₦ 14,835",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/752837/1.jpg?9501,http://jumia.com.ng//adidas-core-sneakers-kids-grand-court-k-73825771.html
Adidas ORIGINALS SNEAKERS SEELEY,"₦ 21,605",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/278929/1.jpg?9880,http://jumia.com.ng//adidas-originals-sneakers-seeley-92987244.html
Adidas SPORTS PERFORMANCE FACE MASKS FACE COVERS 3-PACK L,"₦ 3,925",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/578768/1.jpg?5435,http://jumia.com.ng//adidas-sports-performance-face-masks-face-covers-3-pack-l-86787587.html
Adidas SPORTS PERFORMANCE  RUNFALCON,"₦ 21,170",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/149869/1.jpg?7158,http://jumia.com.ng//adidas-sports-performance-runfalcon-96894129.html
Adidas ORIGINALS SLIPPERS ADILETTE,"₦ 13,525",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/226248/1.jpg?4484,http://jumia.com.ng//adidas-originals-slippers-adilette-84262222.html
Adidas SPORTS PERFORMANCE  LITE RACER 2.0,"₦ 22,800",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/149869/1.jpg?7158,http://jumia.com.ng//adidas-sports-performance-lite-racer-2.0-96894127.html
Adidas Core Sneakers Grand Court Base,"₦ 23,774",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/985248/1.jpg?2811,http://jumia.com.ng//adidas-core-sneakers-grand-court-base-84258900.html
